uf,estado,regiao,var_voto_PT_2014_2018_pp,var_desemprego_2014_2018_pp,var_homicidios_2014_2018,var_renda_real_2014_2018_pct,var_voto_Bolsonaro_2018_2022_pp,var_desemprego_2018_2022_pp,var_homicidios_2018_2022,var_renda_real_2018_2022_pct,var_idhm_2010_2022
AC,Acre,Norte,-13.54,5.2,17.74,7.7,-6.92,-1.0,-19.9,-10.1,0.069
AP,Amapa,Norte,-11.65,8.1,17.31,-9.7,1.16,-7.0,-5.3,8.1,0.035
AM,Amazonas,Norte,-15.29,5.2,5.79,-15.1,-1.37,-0.8,-1.3,-3.9,0.083
PA,Para,Norte,-2.6,3.8,10.52,8.5,0.06,-1.9,-18.0,-3.2,0.088
RO,Rondonia,Norte,-17.33,5.5,-7.76,15.9,-1.52,-5.2,6.5,-3.4,0.072
RR,Roraima,Norte,-12.65,5.5,50.4,9.7,4.53,-8.1,-35.8,-18.8,0.056
TO,Tocantins,Norte,-8.47,4.3,1.25,8.4,-0.34,-3.3,4.4,3.9,0.078
AL,Alagoas,Nordeste,-2.2,6.8,-19.38,-6.2,1.24,-4.6,-6.5,3.1,0.091
BA,Bahia,Nordeste,2.53,6.8,5.79,-4.2,0.57,-1.5,-0.8,-5.4,0.074
CE,Ceara,Nordeste,-5.64,4.5,1.69,10.2,1.14,-2.2,-19.9,-3.3,0.077
MA,Maranhao,Nordeste,-5.5,7.0,-10.24,4.2,2.12,-3.2,1.5,5.9,0.091
PB,Paraiba,Nordeste,0.72,2.4,-9.13,4.5,-1.64,1.9,-3.7,-3.9,0.079
PE,Pernambuco,Nordeste,-3.7,8.0,7.91,-13.8,-0.43,-0.3,-8.0,-8.7,0.072
PI,Piaui,Nordeste,-1.25,6.8,-3.45,-1.6,0.19,-2.8,5.7,7.0,0.097
RN,Rio Grande do Norte,Nordeste,-6.55,1.7,5.5,9.2,-1.69,-1.0,-17.1,4.4,0.06
SE,Sergipe,Nordeste,0.53,7.6,0.28,-5.1,0.33,-3.4,-15.9,3.2,0.073
DF,Distrito Federal,Centro-Oeste,-8.09,2.6,-11.75,-5.0,-11.18,-1.0,-6.9,-6.8,0.043
GO,Goias,Centro-Oeste,-8.41,3.1,-5.66,1.8,-6.81,-1.5,-13.8,-3.6,0.062
MT,Mato Grosso,Centro-Oeste,-11.75,3.6,-13.42,6.6,-1.34,-3.8,0.1,-4.9,0.069
MS,Mato Grosso do Sul,Centro-Oeste,-8.89,3.9,-6.62,8.5,-5.73,-3.1,-0.2,0.6,0.052
ES,Espirito Santo,Sudeste,-9.21,3.9,-12.12,-2.3,-5.02,-2.5,-1.5,4.8,0.042
MG,Minas Gerais,Sudeste,-10.6,4.1,-6.78,0.0,-8.39,-3.1,-2.1,-8.9,0.062
RJ,Rio de Janeiro,Sudeste,-22.89,7.9,2.86,12.4,-11.42,-1.5,-11.5,-8.1,0.043
SP,Sao Paulo,Sudeste,-3.66,5.8,-5.85,5.2,-12.73,-4.1,0.0,-10.9,0.045
PR,Parana,Sul,-7.45,4.3,-5.39,5.4,-6.03,-2.3,0.7,-9.5,0.051
RS,Rio Grande do Sul,Sul,-9.71,2.8,-0.51,2.7,-6.89,-1.9,-5.4,-3.6,0.05
SC,Santa Catarina,Sul,-11.33,3.3,-1.55,5.8,-6.65,-2.5,-3.1,-4.3,0.037
