uf,estado,regiao,dilma_2014_pct,aecio_2014_pct,bolsonaro_2018_pct,haddad_2018_pct,lula_2022_pct,bolsonaro_2022_pct,pt_2turno_2014_pct,pt_2turno_2018_pct,pt_2turno_2022_pct,var_pt_2014_2018_pp,var_bolsonaro_2018_2022_pp
AC,Acre,Norte,36.32,63.68,77.22,22.78,29.7,70.3,36.32,22.78,29.7,-13.54,-6.92
AP,Amapa,Norte,61.45,38.55,50.2,49.8,48.64,51.36,61.45,49.8,48.64,-11.65,1.16
AM,Amazonas,Norte,65.02,34.98,50.27,49.73,51.1,48.9,65.02,49.73,51.1,-15.29,-1.37
PA,Para,Norte,57.41,42.59,45.19,54.81,54.75,45.25,57.41,54.81,54.75,-2.6,0.06
RO,Rondonia,Norte,45.15,54.85,72.18,27.82,29.34,70.66,45.15,27.82,29.34,-17.33,-1.52
RR,Roraima,Norte,41.1,58.9,71.55,28.45,23.92,76.08,41.1,28.45,23.92,-12.65,4.53
TO,Tocantins,Norte,59.49,40.51,48.98,51.02,51.36,48.64,59.49,51.02,51.36,-8.47,-0.34
AL,Alagoas,Nordeste,62.12,37.88,40.08,59.92,58.68,41.32,62.12,59.92,58.68,-2.2,1.24
BA,Bahia,Nordeste,70.16,29.84,27.31,72.69,72.12,27.88,70.16,72.69,72.12,2.53,0.57
CE,Ceara,Nordeste,76.75,23.25,28.89,71.11,69.97,30.03,76.75,71.11,69.97,-5.64,1.14
MA,Maranhao,Nordeste,78.76,21.24,26.74,73.26,71.14,28.86,78.76,73.26,71.14,-5.5,2.12
PB,Paraiba,Nordeste,64.26,35.74,35.02,64.98,66.62,33.38,64.26,64.98,66.62,0.72,-1.64
PE,Pernambuco,Nordeste,70.2,29.8,33.5,66.5,66.93,33.07,70.2,66.5,66.93,-3.7,-0.43
PI,Piaui,Nordeste,78.3,21.7,22.95,77.05,76.86,23.14,78.3,77.05,76.86,-1.25,0.19
RN,Rio Grande do Norte,Nordeste,69.96,30.04,36.59,63.41,65.1,34.9,69.96,63.41,65.1,-6.55,-1.69
SE,Sergipe,Nordeste,67.01,32.99,32.46,67.54,67.21,32.79,67.01,67.54,67.21,0.53,0.33
DF,Distrito Federal,Centro-Oeste,38.1,61.9,69.99,30.01,41.19,58.81,38.1,30.01,41.19,-8.09,-11.18
GO,Goias,Centro-Oeste,42.89,57.11,65.52,34.48,41.29,58.71,42.89,34.48,41.29,-8.41,-6.81
MT,Mato Grosso,Centro-Oeste,45.33,54.67,66.42,33.58,34.92,65.08,45.33,33.58,34.92,-11.75,-1.34
MS,Mato Grosso do Sul,Centro-Oeste,43.67,56.33,65.22,34.78,40.51,59.49,43.67,34.78,40.51,-8.89,-5.73
ES,Espirito Santo,Sudeste,46.15,53.85,63.06,36.94,41.96,58.04,46.15,36.94,41.96,-9.21,-5.02
MG,Minas Gerais,Sudeste,52.41,47.59,58.19,41.81,50.2,49.8,52.41,41.81,50.2,-10.6,-8.39
RJ,Rio de Janeiro,Sudeste,54.94,45.06,67.95,32.05,43.47,56.53,54.94,32.05,43.47,-22.89,-11.42
SP,Sao Paulo,Sudeste,35.69,64.31,67.97,32.03,44.76,55.24,35.69,32.03,44.76,-3.66,-12.73
PR,Parana,Sul,39.02,60.98,68.43,31.57,37.6,62.4,39.02,31.57,37.6,-7.45,-6.03
RS,Rio Grande do Sul,Sul,46.47,53.53,63.24,36.76,43.65,56.35,46.47,36.76,43.65,-9.71,-6.89
SC,Santa Catarina,Sul,35.41,64.59,75.92,24.08,30.73,69.27,35.41,24.08,30.73,-11.33,-6.65
