uf,estado,regiao,desemprego_2014,desemprego_2018,desemprego_2022,homicidios_2014,homicidios_2018,homicidios_2022,renda_pc_2014,renda_pc_2018,renda_pc_2022,idhm_2010,idhm_2022,extrema_pobreza_2020,extrema_pobreza_2021,extrema_pobreza_2022,extrema_pobreza_2023
AC,Acre,Norte,8.2,13.4,12.4,29.36,47.1,27.2,670,909,1038,0.663,0.732,,17.6,14.0,13.2
AP,Amapa,Norte,12.6,20.7,13.7,34.09,51.4,46.1,753,857,1177,0.708,0.743,9.4,11.8,7.9,3.6
AM,Amazonas,Norte,8.7,13.9,13.1,32.01,37.8,36.5,739,791,965,0.674,0.757,12.5,16.2,10.5,6.6
PA,Para,Norte,7.8,11.6,9.7,42.68,53.2,35.2,631,863,1061,0.646,0.734,7.6,15.3,7.5,5.7
RO,Rondonia,Norte,3.9,9.4,4.2,33.06,25.3,31.8,762,1113,1365,0.69,0.762,4.3,8.1,4.3,4.4
RR,Roraima,Norte,7.5,13.0,4.9,15.0,65.4,29.6,871,1204,1242,0.707,0.763,9.4,11.3,7.8,7.2
TO,Tocantins,Norte,6.6,10.9,7.6,25.45,26.7,31.1,765,1045,1379,0.699,0.777,5.8,7.6,4.9,4.2
AL,Alagoas,Nordeste,9.8,16.6,12.0,62.78,43.4,36.9,604,714,935,0.631,0.722,11.8,16.4,13.1,8.8
BA,Bahia,Nordeste,9.8,16.6,15.1,40.01,45.8,45.0,697,841,1010,0.66,0.734,9.9,17.0,11.9,8.8
CE,Ceara,Nordeste,7.1,11.6,9.4,52.31,54.0,34.1,616,855,1050,0.682,0.759,9.3,16.0,10.9,9.4
MA,Maranhao,Nordeste,7.6,14.6,11.4,35.94,25.7,27.2,461,605,814,0.639,0.73,14.4,22.6,15.0,12.2
PB,Paraiba,Nordeste,8.1,10.5,12.4,39.33,30.2,26.5,682,898,1096,0.658,0.737,8.9,16.7,11.1,7.4
PE,Pernambuco,Nordeste,8.2,16.2,15.9,36.19,44.1,36.1,802,871,1010,0.673,0.745,11.8,19.4,11.7,9.3
PI,Piaui,Nordeste,6.0,12.8,10.0,22.45,19.0,24.7,659,817,1110,0.646,0.743,9.5,16.1,11.6,8.1
RN,Rio Grande do Norte,Nordeste,11.2,12.9,11.9,47.0,52.5,35.4,695,956,1267,0.684,0.744,6.1,14.9,9.4,6.3
SE,Sergipe,Nordeste,8.9,16.5,13.1,49.42,49.7,33.8,758,906,1187,0.665,0.738,7.9,14.9,8.9,8.1
DF,Distrito Federal,Centro-Oeste,9.7,12.3,11.3,29.55,17.8,10.9,2055,2460,2913,0.824,0.867,2.6,4.3,1.8,1.9
GO,Goias,Centro-Oeste,6.1,9.2,7.7,44.26,38.6,24.8,1031,1323,1619,0.735,0.797,3.2,3.8,2.7,1.3
MT,Mato Grosso,Centro-Oeste,4.2,7.8,4.0,42.12,28.7,28.8,1032,1386,1674,0.725,0.794,2.7,3.5,4.1,2.6
MS,Mato Grosso do Sul,Centro-Oeste,4.1,8.0,4.9,26.72,20.1,19.9,1053,1439,1839,0.729,0.781,2.6,4.0,2.7,2.0
ES,Espirito Santo,Sudeste,7.1,11.0,8.5,41.42,29.3,27.8,1052,1295,1723,0.74,0.782,3.8,7.2,4.1,2.7
MG,Minas Gerais,Sudeste,6.7,10.8,7.7,22.78,16.0,13.9,1049,1322,1529,0.731,0.793,3.2,4.5,3.2,2.2
RJ,Rio de Janeiro,Sudeste,6.9,14.8,13.3,34.74,37.6,26.1,1193,1689,1971,0.761,0.804,5.4,7.6,4.5,3.6
SP,Sao Paulo,Sudeste,7.4,13.2,9.1,14.05,8.2,8.2,1432,1898,2148,0.783,0.828,3.1,4.4,2.9,2.2
PR,Parana,Sul,4.0,8.3,6.0,26.89,21.5,22.2,1210,1607,1846,0.749,0.8,3.8,3.9,2.9,2.2
RS,Rio Grande do Sul,Sul,5.5,8.3,6.4,24.31,23.8,18.4,1318,1705,2087,0.746,0.796,2.4,2.9,2.5,1.3
SC,Santa Catarina,Sul,3.0,6.3,3.8,13.45,11.9,8.8,1245,1660,2018,0.774,0.811,1.9,2.4,1.8,1.4
