Codigo_IBGE,Municipio,UF,Regiao,Populacao_2024,Faixa_populacao,Onibus_intramunicipal,Onibus_intermunicipal,Intermunicipal_circula_interno,Frota_adaptada_PCD,Tem_onibus_publico_local,Classificacao,Status_Verificacao_Web,Fonte_Verificacao,Data_Verificacao,Observacao_Verificacao
1100015,Alta Floresta DOeste,RO,1 - Norte,22853,4 - 20001 até 50000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,Busca retornou apenas informações sobre rodoviária/transporte intermunicipal; sem confirmação confiável específica. Mantido dado original do MUNIC.
1100023,Ariquemes,RO,1 - Norte,108573,6 - 100001 até 500000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Confirmado,https://diariodotransporte.com.br/2019/05/11/ariquemes-em-rondonia-lanca-pmi-para-avaliar-implantacao-de-transporte-publico-na-cidade/,2026-08-07,Confirmado: Ariquemes não possui sistema de transporte coletivo por ônibus; locomoção é majoritariamente por mototáxi. Prefeitura estudava implantação desde 2019.
1100031,Cabixi,RO,1 - Norte,5690,2 - 5001 até 10000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,Fonte indica cidade pequena explorável a pé/transporte local limitado (Cabixi-RO),2026-08-11,"Evidência sugere ausência de ônibus urbano, mas não é fonte formal suficiente para Confirmado"
1100049,Cacoal,RO,1 - Norte,97637,5 - 50001 até 100000,Sim,Não,-,Totalmente adaptada,Sim,Possui ônibus urbano (intramunicipal),Pendente,,,
1100056,Cerejeiras,RO,1 - Norte,16975,3 - 10001 até 20000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-08,"Lei orgânica prevê competência sobre transporte coletivo, mas sem confirmação de sistema efetivamente operante. Mantido dado original do MUNIC."
1100064,Colorado do Oeste,RO,1 - Norte,16588,3 - 10001 até 20000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-08,Busca retornou apenas informações sobre rodoviária/transporte intermunicipal; sem confirmação confiável específica. Mantido dado original do MUNIC.
1100072,Corumbiara,RO,1 - Norte,8001,2 - 5001 até 10000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,Buscas retornaram apenas transporte de Porto Velho e rodoviária intermunicipal (Corumbiara-RO),2026-08-10,Nenhuma evidência específica de ônibus urbano intramunicipal encontrada
1100080,Costa Marques,RO,1 - Norte,13522,3 - 10001 até 20000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-08,Busca retornou apenas informações sobre rodoviária/transporte intermunicipal/regional; sem confirmação confiável específica de circulação urbana interna. Mantido dado original do MUNIC.
1100098,Espigão DOeste,RO,1 - Norte,32717,4 - 20001 até 50000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,Apenas rodoviária intermunicipal; sem fonte específica sobre ônibus urbano. Mantido dado original do MUNIC.
1100106,Guajará-Mirim,RO,1 - Norte,43553,4 - 20001 até 50000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,Busca retornou apenas informações sobre rodoviária/transporte intermunicipal; sem fonte confiável específica sobre transporte urbano por ônibus. Mantido dado original do MUNIC.
